CustomerID,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,rf_score,segment
12390,79,1,79.0,2,1,4,214.0,21,Lapsed Customers
12391,21,1,21.0,4,1,2,412.0,41,New Customers
12393,71,4,71.0,3,4,3,343.0,34,Loyal Customers
12394,63,2,63.0,3,2,3,323.0,32,Less Frequent
12395,18,12,18.0,4,5,2,452.0,45,Loyal Customers
12397,35,2,35.0,3,2,3,323.0,32,Less Frequent
12398,45,1,45.0,3,1,3,313.0,31,Less Frequent
12399,118,4,118.0,2,4,4,244.0,24,At Risk
12401,302,1,302.0,1,1,5,115.0,11,Lapsed Customers
12402,322,1,322.0,1,1,5,115.0,11,Lapsed Customers
12403,49,1,49.0,3,1,3,313.0,31,Less Frequent
12405,148,1,148.0,2,1,4,214.0,21,Lapsed Customers
12406,21,2,21.0,4,2,2,422.0,42,Potential Loyalists
12407,49,5,49.0,3,4,3,343.0,34,Loyal Customers
12408,32,5,32.0,4,4,2,442.0,44,Loyal Customers
12409,78,3,78.0,2,3,4,234.0,23,At Risk
12410,308,2,308.0,1,2,5,125.0,12,Lapsed Customers
12412,74,3,74.0,2,3,4,234.0,23,At Risk
12413,66,3,66.0,3,3,3,333.0,33,Need Attention
12414,216,3,216.0,1,3,5,135.0,13,At Risk
12415,23,21,23.0,4,5,2,452.0,45,Loyal Customers
12417,2,9,2.0,5,5,1,551.0,55,Top Customers
12418,112,1,112.0,2,1,4,214.0,21,Lapsed Customers
12420,63,1,63.0,3,1,3,313.0,31,Less Frequent
12421,15,4,15.0,4,4,2,442.0,44,Loyal Customers
12422,95,3,95.0,2,3,4,234.0,23,At Risk
12423,0,8,0.0,5,5,1,551.0,55,Top Customers
12424,162,2,162.0,2,2,4,224.0,22,Lapsed Customers
12425,77,1,77.0,2,1,4,214.0,21,Lapsed Customers
12426,194,1,194.0,1,1,5,115.0,11,Lapsed Customers
12427,21,3,21.0,4,3,2,432.0,43,Potential Loyalists
12428,25,9,25.0,4,5,2,452.0,45,Loyal Customers
12429,8,4,8.0,5,4,1,541.0,54,Top Customers
12430,42,1,42.0,3,1,3,313.0,31,Less Frequent
12431,35,15,35.0,3,5,3,353.0,35,Loyal Customers
12432,42,5,42.0,3,4,3,343.0,34,Loyal Customers
12433,0,7,0.0,5,5,1,551.0,55,Top Customers
12434,84,2,84.0,2,2,4,224.0,22,Lapsed Customers
12435,79,2,79.0,2,2,4,224.0,22,Lapsed Customers
12436,99,1,99.0,2,1,4,214.0,21,Lapsed Customers
12437,1,18,1.0,5,5,1,551.0,55,Top Customers
12438,13,2,13.0,4,2,2,422.0,42,Potential Loyalists
12441,366,1,366.0,1,1,5,115.0,11,Lapsed Customers
12442,2,1,2.0,5,1,1,511.0,51,New Customers
12444,20,5,20.0,4,4,2,442.0,44,Loyal Customers
12445,21,1,21.0,4,1,2,412.0,41,New Customers
12446,57,1,57.0,3,1,3,313.0,31,Less Frequent
12447,242,1,242.0,1,1,5,115.0,11,Lapsed Customers
12448,43,1,43.0,3,1,3,313.0,31,Less Frequent
12449,21,4,21.0,4,4,2,442.0,44,Loyal Customers
12450,155,2,155.0,2,2,4,224.0,22,Lapsed Customers
12451,10,5,10.0,5,4,1,541.0,54,Top Customers
12452,16,2,16.0,4,2,2,422.0,42,Potential Loyalists
12453,133,1,133.0,2,1,4,214.0,21,Lapsed Customers
12454,55,1,55.0,3,1,3,313.0,31,Less Frequent
12455,72,6,72.0,2,4,4,244.0,24,At Risk
12456,43,3,43.0,3,3,3,333.0,33,Need Attention
12457,65,7,65.0,3,5,3,353.0,35,Loyal Customers
12458,70,2,70.0,3,2,3,323.0,32,Less Frequent
12461,93,2,93.0,2,2,4,224.0,22,Lapsed Customers
12462,18,2,18.0,4,2,2,422.0,42,Potential Loyalists
12463,52,4,52.0,3,4,3,343.0,34,Loyal Customers
12464,9,8,9.0,5,5,1,551.0,55,Top Customers
12465,16,2,16.0,4,2,2,422.0,42,Potential Loyalists
12468,187,2,187.0,1,2,5,125.0,12,Lapsed Customers
12471,1,30,1.0,5,5,1,551.0,55,Top Customers
12472,31,7,31.0,4,5,2,452.0,45,Loyal Customers
12473,28,5,28.0,4,4,2,442.0,44,Loyal Customers
12474,16,18,16.0,4,5,2,452.0,45,Loyal Customers
12475,53,1,53.0,3,1,3,313.0,31,Less Frequent
12476,15,11,15.0,4,5,2,452.0,45,Loyal Customers
12477,22,6,22.0,4,4,2,442.0,44,Loyal Customers
12478,3,1,3.0,5,1,1,511.0,51,New Customers
12479,10,1,10.0,5,1,1,511.0,51,New Customers
12480,27,4,27.0,4,4,2,442.0,44,Loyal Customers
12481,22,10,22.0,4,5,2,452.0,45,Loyal Customers
12483,16,8,16.0,4,5,2,452.0,45,Loyal Customers
12484,32,6,32.0,4,4,2,442.0,44,Loyal Customers
12488,9,3,9.0,5,3,1,531.0,53,Potential Loyalists
12489,335,1,335.0,1,1,5,115.0,11,Lapsed Customers
12490,4,10,4.0,5,5,1,551.0,55,Top Customers
12491,38,1,38.0,3,1,3,313.0,31,Less Frequent
12492,62,2,62.0,3,2,3,323.0,32,Less Frequent
12493,165,2,165.0,2,2,4,224.0,22,Lapsed Customers
12494,15,7,15.0,4,5,2,452.0,45,Loyal Customers
12497,81,1,81.0,2,1,4,214.0,21,Lapsed Customers
12498,20,3,20.0,4,3,2,432.0,43,Potential Loyalists
12500,22,11,22.0,4,5,2,452.0,45,Loyal Customers
12501,336,1,336.0,1,1,5,115.0,11,Lapsed Customers
12502,95,5,95.0,2,4,4,244.0,24,At Risk
12504,17,2,17.0,4,2,2,422.0,42,Potential Loyalists
12506,232,1,232.0,1,1,5,115.0,11,Lapsed Customers
12507,133,3,133.0,2,3,4,234.0,23,At Risk
12508,25,2,25.0,4,2,2,422.0,42,Potential Loyalists
12509,283,1,283.0,1,1,5,115.0,11,Lapsed Customers
12510,142,2,142.0,2,2,4,224.0,22,Lapsed Customers
12512,65,2,65.0,3,2,3,323.0,32,Less Frequent
12513,112,1,112.0,2,1,4,214.0,21,Lapsed Customers
12514,266,1,266.0,1,1,5,115.0,11,Lapsed Customers
12515,352,1,352.0,1,1,5,115.0,11,Lapsed Customers
12516,77,2,77.0,2,2,4,224.0,22,Lapsed Customers
12517,27,5,27.0,4,4,2,442.0,44,Loyal Customers
12518,0,5,0.0,5,4,1,541.0,54,Top Customers
12519,63,1,63.0,3,1,3,313.0,31,Less Frequent
12520,78,5,78.0,2,4,4,244.0,24,At Risk
12521,142,1,142.0,2,1,4,214.0,21,Lapsed Customers
12522,38,2,38.0,3,2,3,323.0,32,Less Frequent
12523,18,11,18.0,4,5,2,452.0,45,Loyal Customers
12524,8,8,8.0,5,5,1,551.0,55,Top Customers
12526,0,3,0.0,5,3,1,531.0,53,Potential Loyalists
12527,81,3,81.0,2,3,4,234.0,23,At Risk
12528,8,6,8.0,5,5,1,551.0,55,Top Customers
12530,59,4,59.0,3,4,3,343.0,34,Loyal Customers
12531,14,1,14.0,4,1,2,412.0,41,New Customers
12532,29,1,29.0,4,1,2,412.0,41,New Customers
12534,130,1,130.0,2,1,4,214.0,21,Lapsed Customers
12535,91,2,91.0,2,2,4,224.0,22,Lapsed Customers
12536,42,3,42.0,3,3,3,333.0,33,Need Attention
12538,28,1,28.0,4,1,2,412.0,41,New Customers
12539,21,4,21.0,4,4,2,442.0,44,Loyal Customers
12540,19,17,19.0,4,5,2,452.0,45,Loyal Customers
12541,29,3,29.0,4,3,2,432.0,43,Potential Loyalists
12544,35,1,35.0,3,1,3,313.0,31,Less Frequent
12545,74,2,74.0,2,2,4,224.0,22,Lapsed Customers
12546,46,2,46.0,3,2,3,323.0,32,Less Frequent
12547,197,2,197.0,1,2,5,125.0,12,Lapsed Customers
12548,165,1,165.0,2,1,4,214.0,21,Lapsed Customers
12550,78,1,78.0,2,1,4,214.0,21,Lapsed Customers
12551,357,1,357.0,1,1,5,115.0,11,Lapsed Customers
12552,38,2,38.0,3,2,3,323.0,32,Less Frequent
12553,7,10,7.0,5,5,1,551.0,55,Top Customers
12556,49,2,49.0,3,2,3,323.0,32,Less Frequent
12557,15,5,15.0,4,4,2,442.0,44,Loyal Customers
12558,7,1,7.0,5,1,1,511.0,51,New Customers
12559,310,2,310.0,1,2,5,125.0,12,Lapsed Customers
12560,4,3,4.0,5,3,1,531.0,53,Potential Loyalists
12561,302,1,302.0,1,1,5,115.0,11,Lapsed Customers
12562,7,7,7.0,5,5,1,551.0,55,Top Customers
12564,260,1,260.0,1,1,5,115.0,11,Lapsed Customers
12565,288,1,288.0,1,1,5,115.0,11,Lapsed Customers
12566,85,1,85.0,2,1,4,214.0,21,Lapsed Customers
12567,22,10,22.0,4,5,2,452.0,45,Loyal Customers
12569,1,32,1.0,5,5,1,551.0,55,Top Customers
12571,39,2,39.0,3,2,3,323.0,32,Less Frequent
12572,8,2,8.0,5,2,1,521.0,52,Potential Loyalists
12573,226,1,226.0,1,1,5,115.0,11,Lapsed Customers
12574,315,1,315.0,1,1,5,115.0,11,Lapsed Customers
12576,35,5,35.0,3,4,3,343.0,34,Loyal Customers
12577,34,3,34.0,3,3,3,333.0,33,Need Attention
12578,20,2,20.0,4,2,2,422.0,42,Potential Loyalists
12579,77,1,77.0,2,1,4,214.0,21,Lapsed Customers
12580,246,1,246.0,1,1,5,115.0,11,Lapsed Customers
12581,39,1,39.0,3,1,3,313.0,31,Less Frequent
12582,238,2,238.0,1,2,5,125.0,12,Lapsed Customers
12583,2,15,2.0,5,5,1,551.0,55,Top Customers
12584,3,9,3.0,5,5,1,551.0,55,Top Customers
12585,233,2,233.0,1,2,5,125.0,12,Lapsed Customers
12586,16,1,16.0,4,1,2,412.0,41,New Customers
12587,7,1,7.0,5,1,1,511.0,51,New Customers
12588,38,1,38.0,3,1,3,313.0,31,Less Frequent
12589,28,2,28.0,4,2,2,422.0,42,Potential Loyalists
12590,210,2,210.0,1,2,5,125.0,12,Lapsed Customers
12591,316,1,316.0,1,1,5,115.0,11,Lapsed Customers
12592,91,2,91.0,2,2,4,224.0,22,Lapsed Customers
12593,108,3,108.0,2,3,4,234.0,23,At Risk
12594,37,10,37.0,3,5,3,353.0,35,Loyal Customers
12596,50,2,50.0,3,2,3,323.0,32,Less Frequent
12597,18,4,18.0,4,4,2,442.0,44,Loyal Customers
12598,9,8,9.0,5,5,1,551.0,55,Top Customers
12599,28,7,28.0,4,5,2,452.0,45,Loyal Customers
12600,28,10,28.0,4,5,2,452.0,45,Loyal Customers
12601,189,5,189.0,1,4,5,145.0,14,At Risk
12602,58,1,58.0,3,1,3,313.0,31,Less Frequent
12603,21,1,21.0,4,1,2,412.0,41,New Customers
12604,78,2,78.0,2,2,4,224.0,22,Lapsed Customers
12607,59,1,59.0,3,1,3,313.0,31,Less Frequent
12609,77,3,77.0,2,3,4,234.0,23,At Risk
12610,22,5,22.0,4,4,2,442.0,44,Loyal Customers
12611,51,1,51.0,3,1,3,313.0,31,Less Frequent
12612,73,1,73.0,2,1,4,214.0,21,Lapsed Customers
12613,56,5,56.0,3,4,3,343.0,34,Loyal Customers
12614,277,1,277.0,1,1,5,115.0,11,Lapsed Customers
12615,1,4,1.0,5,4,1,541.0,54,Top Customers
12616,94,2,94.0,2,2,4,224.0,22,Lapsed Customers
12617,28,1,28.0,4,1,2,412.0,41,New Customers
12618,21,1,21.0,4,1,2,412.0,41,New Customers
12619,15,9,15.0,4,5,2,452.0,45,Loyal Customers
12620,14,3,14.0,4,3,2,432.0,43,Potential Loyalists
12621,1,20,1.0,5,5,1,551.0,55,Top Customers
12622,231,1,231.0,1,1,5,115.0,11,Lapsed Customers
12623,275,1,275.0,1,1,5,115.0,11,Lapsed Customers
12624,105,2,105.0,2,2,4,224.0,22,Lapsed Customers
12625,211,2,211.0,1,2,5,125.0,12,Lapsed Customers
12626,22,9,22.0,4,5,2,452.0,45,Loyal Customers
12627,10,7,10.0,5,5,1,551.0,55,Top Customers
12628,3,3,3.0,5,3,1,531.0,53,Potential Loyalists
12630,9,2,9.0,5,2,1,521.0,52,Potential Loyalists
12631,56,1,56.0,3,1,3,313.0,31,Less Frequent
12633,58,4,58.0,3,4,3,343.0,34,Loyal Customers
12635,89,2,89.0,2,2,4,224.0,22,Lapsed Customers
12637,66,8,66.0,3,5,3,353.0,35,Loyal Customers
12638,32,1,32.0,4,1,2,412.0,41,New Customers
12639,238,1,238.0,1,1,5,115.0,11,Lapsed Customers
12640,23,3,23.0,4,3,2,432.0,43,Potential Loyalists
12641,114,1,114.0,2,1,4,214.0,21,Lapsed Customers
12642,24,3,24.0,4,3,2,432.0,43,Potential Loyalists
12643,127,6,127.0,2,5,4,254.0,25,Churned Customers
12644,129,1,129.0,2,1,4,214.0,21,Lapsed Customers
12645,33,4,33.0,3,4,3,343.0,34,Loyal Customers
12646,4,2,4.0,5,2,1,521.0,52,Potential Loyalists
12647,21,12,21.0,4,5,2,452.0,45,Loyal Customers
12648,154,1,154.0,2,1,4,214.0,21,Lapsed Customers
12649,106,3,106.0,2,3,4,234.0,23,At Risk
12650,2,1,2.0,5,1,1,511.0,51,New Customers
12651,334,1,334.0,1,1,5,115.0,11,Lapsed Customers
12652,330,1,330.0,1,1,5,115.0,11,Lapsed Customers
12653,148,2,148.0,2,2,4,224.0,22,Lapsed Customers
12654,10,5,10.0,5,4,1,541.0,54,Top Customers
12656,16,5,16.0,4,4,2,442.0,44,Loyal Customers
12657,10,4,10.0,5,4,1,541.0,54,Top Customers
12658,18,1,18.0,4,1,2,412.0,41,New Customers
12659,29,1,29.0,4,1,2,412.0,41,New Customers
12660,10,1,10.0,5,1,1,511.0,51,New Customers
12662,0,11,0.0,5,5,1,551.0,55,Top Customers
12664,7,9,7.0,5,5,1,551.0,55,Top Customers
12665,324,1,324.0,1,1,5,115.0,11,Lapsed Customers
12667,57,1,57.0,3,1,3,313.0,31,Less Frequent
12668,11,4,11.0,5,4,1,541.0,54,Top Customers
12669,150,3,150.0,2,3,4,234.0,23,At Risk
12670,9,5,9.0,5,4,1,541.0,54,Top Customers
12672,329,1,329.0,1,1,5,115.0,11,Lapsed Customers
12673,4,2,4.0,5,2,1,521.0,52,Potential Loyalists
12674,38,4,38.0,3,4,3,343.0,34,Loyal Customers
12676,24,6,24.0,4,5,2,452.0,45,Loyal Customers
12678,41,12,41.0,3,5,3,353.0,35,Loyal Customers
12679,58,4,58.0,3,4,3,343.0,34,Loyal Customers
12680,0,4,0.0,5,4,1,541.0,54,Top Customers
12681,14,22,14.0,4,5,2,452.0,45,Loyal Customers
12682,3,31,3.0,5,5,1,551.0,55,Top Customers
12683,3,15,3.0,5,5,1,551.0,55,Top Customers
12684,7,7,7.0,5,5,1,551.0,55,Top Customers
12685,27,6,27.0,4,5,2,452.0,45,Loyal Customers
12686,371,1,371.0,1,1,5,115.0,11,Lapsed Customers
12688,113,1,113.0,2,1,4,214.0,21,Lapsed Customers
12689,25,2,25.0,4,2,2,422.0,42,Potential Loyalists
12690,205,1,205.0,1,1,5,115.0,11,Lapsed Customers
12691,27,6,27.0,4,5,2,452.0,45,Loyal Customers
12693,126,4,126.0,2,4,4,244.0,24,At Risk
12694,69,2,69.0,3,2,3,323.0,32,Less Frequent
12695,6,4,6.0,5,4,1,541.0,54,Top Customers
12697,28,3,28.0,4,3,2,432.0,43,Potential Loyalists
12700,7,4,7.0,5,4,1,541.0,54,Top Customers
12701,79,2,79.0,2,2,4,224.0,22,Lapsed Customers
12702,19,1,19.0,4,1,2,412.0,41,New Customers
12703,70,1,70.0,3,1,3,313.0,31,Less Frequent
12704,6,8,6.0,5,5,1,551.0,55,Top Customers
12705,14,9,14.0,4,5,2,452.0,45,Loyal Customers
12707,291,1,291.0,1,1,5,115.0,11,Lapsed Customers
12708,29,10,29.0,4,5,2,452.0,45,Loyal Customers
12709,14,15,14.0,4,5,2,452.0,45,Loyal Customers
12710,96,3,96.0,2,3,4,234.0,23,At Risk
12712,28,13,28.0,4,5,2,452.0,45,Loyal Customers
12713,0,1,0.0,5,1,1,511.0,51,New Customers
12714,8,5,8.0,5,4,1,541.0,54,Top Customers
12715,105,1,105.0,2,1,4,214.0,21,Lapsed Customers
12716,3,2,3.0,5,2,1,521.0,52,Potential Loyalists
12717,150,2,150.0,2,2,4,224.0,22,Lapsed Customers
12718,70,1,70.0,3,1,3,313.0,31,Less Frequent
12719,4,2,4.0,5,2,1,521.0,52,Potential Loyalists
12720,2,25,2.0,5,5,1,551.0,55,Top Customers
12721,31,6,31.0,4,5,2,452.0,45,Loyal Customers
12722,84,4,84.0,2,4,4,244.0,24,At Risk
12723,3,5,3.0,5,4,1,541.0,54,Top Customers
12724,4,4,4.0,5,4,1,541.0,54,Top Customers
12725,370,1,370.0,1,1,5,115.0,11,Lapsed Customers
12726,27,7,27.0,4,5,2,452.0,45,Loyal Customers
12727,10,7,10.0,5,5,1,551.0,55,Top Customers
12728,70,4,70.0,3,4,3,343.0,34,Loyal Customers
12729,113,1,113.0,2,1,4,214.0,21,Lapsed Customers
12731,23,12,23.0,4,5,2,452.0,45,Loyal Customers
12732,179,1,179.0,1,1,5,115.0,11,Lapsed Customers
12733,233,1,233.0,1,1,5,115.0,11,Lapsed Customers
12734,352,1,352.0,1,1,5,115.0,11,Lapsed Customers
12735,314,2,314.0,1,2,5,125.0,12,Lapsed Customers
12736,332,1,332.0,1,1,5,115.0,11,Lapsed Customers
12738,371,1,371.0,1,1,5,115.0,11,Lapsed Customers
12739,77,2,77.0,2,2,4,224.0,22,Lapsed Customers
12740,63,1,63.0,3,1,3,313.0,31,Less Frequent
12743,133,2,133.0,2,2,4,224.0,22,Lapsed Customers
12744,51,7,51.0,3,5,3,353.0,35,Loyal Customers
12747,1,11,1.0,5,5,1,551.0,55,Top Customers
12748,0,210,0.0,5,5,1,551.0,55,Top Customers
12749,3,5,3.0,5,4,1,541.0,54,Top Customers
12750,128,1,128.0,2,1,4,214.0,21,Lapsed Customers
12752,80,1,80.0,2,1,4,214.0,21,Lapsed Customers
12753,22,6,22.0,4,5,2,452.0,45,Loyal Customers
12754,235,3,235.0,1,3,5,135.0,13,At Risk
12755,280,2,280.0,1,2,5,125.0,12,Lapsed Customers
12756,86,1,86.0,2,1,4,214.0,21,Lapsed Customers
12757,15,13,15.0,4,5,2,452.0,45,Loyal Customers
12758,116,2,116.0,2,2,4,224.0,22,Lapsed Customers
12759,51,3,51.0,3,3,3,333.0,33,Need Attention
12762,7,2,7.0,5,2,1,521.0,52,Potential Loyalists
12763,137,2,137.0,2,2,4,224.0,22,Lapsed Customers
12764,316,1,316.0,1,1,5,115.0,11,Lapsed Customers
12766,3,7,3.0,5,5,1,551.0,55,Top Customers
12769,238,1,238.0,1,1,5,115.0,11,Lapsed Customers
12770,210,1,210.0,1,1,5,115.0,11,Lapsed Customers
12772,59,1,59.0,3,1,3,313.0,31,Less Frequent
12775,16,5,16.0,4,4,2,442.0,44,Loyal Customers
12778,19,6,19.0,4,5,2,452.0,45,Loyal Customers
12779,37,8,37.0,3,5,3,353.0,35,Loyal Customers
12781,63,2,63.0,3,2,3,323.0,32,Less Frequent
12782,4,5,4.0,5,4,1,541.0,54,Top Customers
12783,1,6,1.0,5,5,1,551.0,55,Top Customers
12784,8,2,8.0,5,2,1,521.0,52,Potential Loyalists
12785,363,1,363.0,1,1,5,115.0,11,Lapsed Customers
12787,9,3,9.0,5,3,1,531.0,53,Potential Loyalists
12789,64,1,64.0,3,1,3,313.0,31,Less Frequent
12790,191,1,191.0,1,1,5,115.0,11,Lapsed Customers
12791,373,1,373.0,1,1,5,115.0,11,Lapsed Customers
12792,256,1,256.0,1,1,5,115.0,11,Lapsed Customers
12793,334,2,334.0,1,2,5,125.0,12,Lapsed Customers
12794,52,2,52.0,3,2,3,323.0,32,Less Frequent
12795,18,1,18.0,4,1,2,412.0,41,New Customers
12797,365,1,365.0,1,1,5,115.0,11,Lapsed Customers
12798,9,3,9.0,5,3,1,531.0,53,Potential Loyalists
12802,186,1,186.0,1,1,5,115.0,11,Lapsed Customers
12808,36,3,36.0,3,3,3,333.0,33,Need Attention
12809,177,1,177.0,2,1,4,214.0,21,Lapsed Customers
12811,260,3,260.0,1,3,5,135.0,13,At Risk
12812,44,1,44.0,3,1,3,313.0,31,Less Frequent
12814,101,1,101.0,2,1,4,214.0,21,Lapsed Customers
12815,147,2,147.0,2,2,4,224.0,22,Lapsed Customers
12816,95,2,95.0,2,2,4,224.0,22,Lapsed Customers
12817,280,1,280.0,1,1,5,115.0,11,Lapsed Customers
12818,261,1,261.0,1,1,5,115.0,11,Lapsed Customers
12820,2,4,2.0,5,4,1,541.0,54,Top Customers
12821,213,1,213.0,1,1,5,115.0,11,Lapsed Customers
12822,70,2,70.0,3,2,3,323.0,32,Less Frequent
12823,74,5,74.0,2,4,4,244.0,24,At Risk
12824,59,1,59.0,3,1,3,313.0,31,Less Frequent
12826,2,7,2.0,5,5,1,551.0,55,Top Customers
12827,5,3,5.0,5,3,1,531.0,53,Potential Loyalists
12828,2,6,2.0,5,5,1,551.0,55,Top Customers
12829,336,2,336.0,1,2,5,125.0,12,Lapsed Customers
12830,37,6,37.0,3,5,3,353.0,35,Loyal Customers
12831,261,1,261.0,1,1,5,115.0,11,Lapsed Customers
12832,31,2,31.0,4,2,2,422.0,42,Potential Loyalists
12833,144,1,144.0,2,1,4,214.0,21,Lapsed Customers
12834,282,1,282.0,1,1,5,115.0,11,Lapsed Customers
12836,58,4,58.0,3,4,3,343.0,34,Loyal Customers
12837,172,1,172.0,2,1,4,214.0,21,Lapsed Customers
12838,33,2,33.0,3,2,3,323.0,32,Less Frequent
12839,2,14,2.0,5,5,1,551.0,55,Top Customers
12840,143,4,143.0,2,4,4,244.0,24,At Risk
12841,4,25,4.0,5,5,1,551.0,55,Top Customers
12842,69,2,69.0,3,2,3,323.0,32,Less Frequent
12843,65,8,65.0,3,5,3,353.0,35,Loyal Customers
12844,28,2,28.0,4,2,2,422.0,42,Potential Loyalists
12845,266,4,266.0,1,4,5,145.0,14,At Risk
12847,21,1,21.0,4,1,2,412.0,41,New Customers
12849,30,2,30.0,4,2,2,422.0,42,Potential Loyalists
12851,96,1,96.0,2,1,4,214.0,21,Lapsed Customers
12852,294,1,294.0,1,1,5,115.0,11,Lapsed Customers
12853,134,6,134.0,2,5,4,254.0,25,Churned Customers
12854,78,3,78.0,2,3,4,234.0,23,At Risk
12855,372,1,372.0,1,1,5,115.0,11,Lapsed Customers
12856,7,6,7.0,5,5,1,551.0,55,Top Customers
12857,210,2,210.0,1,2,5,125.0,12,Lapsed Customers
12863,51,1,51.0,3,1,3,313.0,31,Less Frequent
12864,137,1,137.0,2,1,4,214.0,21,Lapsed Customers
12865,25,2,25.0,4,2,2,422.0,42,Potential Loyalists
12866,282,1,282.0,1,1,5,115.0,11,Lapsed Customers
12867,25,7,25.0,4,5,2,452.0,45,Loyal Customers
12868,185,6,185.0,1,5,5,155.0,15,Churned Customers
12871,83,2,83.0,2,2,4,224.0,22,Lapsed Customers
12872,326,2,326.0,1,2,5,125.0,12,Lapsed Customers
12873,281,1,281.0,1,1,5,115.0,11,Lapsed Customers
12875,142,2,142.0,2,2,4,224.0,22,Lapsed Customers
12876,57,2,57.0,3,2,3,323.0,32,Less Frequent
12877,3,12,3.0,5,5,1,551.0,55,Top Customers
12878,235,2,235.0,1,2,5,125.0,12,Lapsed Customers
12879,44,3,44.0,3,3,3,333.0,33,Need Attention
12881,275,1,275.0,1,1,5,115.0,11,Lapsed Customers
12882,8,2,8.0,5,2,1,521.0,52,Potential Loyalists
12883,24,4,24.0,4,4,2,442.0,44,Loyal Customers
12884,87,1,87.0,2,1,4,214.0,21,Lapsed Customers
12885,62,3,62.0,3,3,3,333.0,33,Need Attention
12886,67,2,67.0,3,2,3,323.0,32,Less Frequent
12888,213,2,213.0,1,2,5,125.0,12,Lapsed Customers
12890,23,1,23.0,4,1,2,412.0,41,New Customers
12891,185,3,185.0,1,3,5,135.0,13,At Risk
12893,30,1,30.0,4,1,2,412.0,41,New Customers
12895,41,2,41.0,3,2,3,323.0,32,Less Frequent
12897,204,2,204.0,1,2,5,125.0,12,Lapsed Customers
12901,8,28,8.0,5,5,1,551.0,55,Top Customers
12902,264,1,264.0,1,1,5,115.0,11,Lapsed Customers
12904,17,2,17.0,4,2,2,422.0,42,Potential Loyalists
12906,11,5,11.0,5,4,1,541.0,54,Top Customers
12908,175,2,175.0,2,2,4,224.0,22,Lapsed Customers
12909,39,5,39.0,3,4,3,343.0,34,Loyal Customers
12910,22,8,22.0,4,5,2,452.0,45,Loyal Customers
12912,2,5,2.0,5,4,1,541.0,54,Top Customers
12913,4,5,4.0,5,4,1,541.0,54,Top Customers
12915,148,2,148.0,2,2,4,224.0,22,Lapsed Customers
12916,138,4,138.0,2,4,4,244.0,24,At Risk
12917,127,1,127.0,2,1,4,214.0,21,Lapsed Customers
12919,7,6,7.0,5,5,1,551.0,55,Top Customers
12920,16,1,16.0,4,1,2,412.0,41,New Customers
12921,8,37,8.0,5,5,1,551.0,55,Top Customers
12922,160,1,160.0,2,1,4,214.0,21,Lapsed Customers
12923,63,1,63.0,3,1,3,313.0,31,Less Frequent
12924,87,4,87.0,2,4,4,244.0,24,At Risk
12925,4,2,4.0,5,2,1,521.0,52,Potential Loyalists
12928,34,5,34.0,3,4,3,343.0,34,Loyal Customers
12929,311,1,311.0,1,1,5,115.0,11,Lapsed Customers
12930,77,2,77.0,2,2,4,224.0,22,Lapsed Customers
12931,21,15,21.0,4,5,2,452.0,45,Loyal Customers
